category,title,description,date,link,old_link,status
Blog,_drafts,,,https://evanwill.github.io/_drafts/,,
Fun,#PastyAware,,,https://evanwill.github.io/pastyAware/,,
Fun,Correct Math Answers,,2025,https://evanwill.github.io/correct-math-answers/,,
Workshop,Go-Go GH-Pages,,2020,https://evanwill.github.io/go-go-ghpages-b/,https://evanwill.github.io/go-go-ghpages/,
Workshop,Get Git!,,2021,https://evanwill.github.io/get-git-b/,https://evanwill.github.io/get-git/,
Workshop,Get Started with OpenRefine,,2021,https://evanwill.github.io/openrefine-b/,https://evanwill.github.io/clean-your-data/,
Workshop,OpenRefine: Advanced Data Transformation with GREL Expressions (Refine with GREL!),,2023,https://evanwill.github.io/refine-with-grel/,,
Workshop,"Hello Arduino: Introducing Microcontrollers, Code, and Simple Circuits for Everyone!",,2022,https://evanwill.github.io/hello-arduino-b/,,
Workshop,Hey API!,,2019,https://evanwill.github.io/hey-api/,,
Workshop,Refine APIs!,,2019,https://evanwill.github.io/refine-apis/,,
Workshop,Become a Power Browser --> Understanding How the Web Works!,,2022,https://evanwill.github.io/power-browser/,,
Workshop,Web Crash Course,,2019,https://evanwill.github.io/web-crash-course/,https://evanwill.github.io/mini-web-crash-course/,
Workshop,write-md: Markdown and Pandoc for Academic Writing,,2020,https://evanwill.github.io/write-md/,,
Workshop,Write Markdown *Everywhere*,,2023,https://evanwill.github.io/markdown-everywhere/,,
Workshop,Data Visualization Literacy: How Bad Charts Lie!,,2023,https://evanwill.github.io/charts-lie/,,
Workshop,web-cites: Web Archiving to Fight Link Rot and Preserve Your Citations,,2024,https://evanwill.github.io/web-cites/,,
Workshop,Try Linux!,,2021,https://evanwill.github.io/try-linux/,,
Workshop,Make OER!,,2018,https://evanwill.github.io/make-oer/,,
Workshop,Teaching Tech Hands-on,,2019,https://evanwill.github.io/tech-hands-on/,,
Workshop,Digital Scholarship Symposium,,"2019, 2018, 2017",https://github.com/PalouseDH/symposium,https://github.com/uidaholib/cdil-summer2017,
Workshop,Fetching and Parsing Data from the Web with OpenRefine,,2017,https://programminghistorian.org/en/lessons/fetch-and-parse-data-with-openrefine,,
Project,CollectionBuilder,static web framework for creating digital collection websites driven by metadata,2019+,https://collectionbuilder.github.io/,,
Project,Lib-Static,a methodology,2021,https://lib-static.github.io,,
Project,Learn-Static,teaching DH with static web,2021,https://github.com/learn-static,,
Project,lesson-template,simple workshop website template with sidebar,2021+,https://github.com/learn-static/lesson-template,,
Project,workshop-template-b,simple workshop website template with bootstrap,2021+,https://evanwill.github.io/workshop-template-b/,,
Project,workshop-template,minimal template for creating workshop lesson websites,2018,https://evanwill.github.io/workshop-template/,,
Project,Beowulf-s,"Chauncey B. Tinker's The Translations of Beowulf: A Critical Bibliography (1903) as a digital collection to explore the texts along side his introductions, extracts, and criticism. public domain text and data",2021,https://evanwill.github.io/beowulf-s/,,
Project,Integrated Musicianship,OER music textbook,2019,https://intmus.github.io/,,
Project,poemBot,raspberry pi printer project,2016,https://github.com/evanwill/poemBot,,
Project,aladore-book,"Aladore by Henry Newbolt, public domain text and data",2018,https://evanwill.github.io/aladore-book/,,
Project,Digital Aladore,"creating a digital edition of Henry Newbolt's Aladore",2014,https://digitalaladore.wordpress.com/,,
Project,morris-wondrous-isles-book,"Water of the Wondrous Isles by William Morris, public domain text and data",2020,https://evanwill.github.io/morris-wondrous-isles-book/,,
Sketch,bootstrap5-template,minimal website template,2021+,https://github.com/thecdil/bootstrap5-template,https://github.com/thecdil/bootstrap-template,
Sketch,timelinejs-template,,2020+,https://github.com/thecdil/timelinejs-template,,
Sketch,basic-book,,2018,https://evanwill.github.io/basic-book/,,
Sketch,lighting-time,simple customizable timer for lightning talks,2018,https://github.com/evanwill/countdown-timer,,
Sketch,academic-librarian-status,,2020,https://evanwill.github.io/academic-librarian-status/,,
Sketch,sphere-view,,2018,https://evanwill.github.io/sphere-view/,,
Sketch,antirubbersheet-test,,2018,https://github.com/evanwill/antirubbersheet-test,,
Sketch,p5tests,,2016,https://evanwill.github.io/p5tests/index.html,,
Sketch,poem choice,,2016,https://uidaholib.github.io/poemchoice/,,
